Date,kW,KWh,wind_speed
03 01 2018 09:50,85.70230103,61.57702143,3.580841064
03 01 2018 10:00,309.5114136,269.2057367,4.716145039
03 01 2018 10:10,381.1726074,356.114453,5.080855846
03 01 2018 10:20,417.2662964,425.0226087,5.343267918
03 01 2018 10:30,446.343811,455.4989836,5.452712059
03 01 2018 10:40,206.6020966,180.2207304,4.29698801
03 01 2018 10:50,251.3757019,273.7530825,4.736260891
03 01 2018 11:00,275.0136108,283.8646662,4.780562878
03 01 2018 11:10,314.2744141,310.4131199,4.894141197
03 01 2018 11:20,238.7823029,219.355975,4.487487793
03 01 2018 11:30,409.0264893,417.2631565,5.314783096
03 01 2018 11:40,506.4703064,531.9193571,5.711400986
03 01 2018 11:50,427.9566956,433.7182755,5.374886036
03 01 2018 12:00,952.2675781,969.6346499,6.895505905
03 01 2018 12:10,1019.905029,1128.237686,7.240921021
03 01 2018 12:20,1015.357971,890.6123118,6.709988117
03 01 2018 12:30,979.7229004,950.7168123,6.851963043
03 01 2018 12:40,379.4078979,355.4740901,5.078312874
03 01 2018 12:50,841.5977783,814.34348,6.521288872
03 01 2018 13:00,672.6187744,683.2747912,6.171179771
03 01 2018 13:10,452.0786133,454.5165791,5.449243069
03 01 2018 13:20,558.9979248,575.9105762,5.851128101
03 01 2018 13:30,331.7192993,359.454764,5.094088078
03 01 2018 13:40,212.1006927,243.1654974,4.598594189
03 01 2018 13:50,79.72102356,67.87244481,3.629702091
03 01 2018 14:00,183.0128021,216.232972,4.472650051
03 01 2018 14:10,279.1960144,316.2552558,4.918616772
03 01 2018 14:20,460.2166138,505.9378767,5.625835896
03 01 2018 14:30,647.7111206,736.1652234,6.316774845
03 01 2018 14:40,685.0780029,706.9630418,6.237164974
03 01 2018 14:50,709.8339844,786.3313199,6.449378014
03 01 2018 15:00,493.3555908,554.1258994,5.782717228
03 01 2018 15:10,366.0793152,425.803377,5.346119881
03 01 2018 15:20,183.0379028,196.8860292,4.379333019
